step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007337599992752075,0.007337599992752075,0.007337599992752075,0.2858089841462498,0.006237866481145223,0.8501235400276459,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007347199817498525,0.007347199817498525,0.007347199817498525,0.2854355471597899,0.006225066880385081,0.8472706656975756,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.016547200083732606,0.016547200083732606,0.016547200083732606,1.0139005943666277,0.0060362666845321655,0.36479081983581996,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.024819199244181314,0.024819199244181314,0.024819199244181314,1.3519546569523833,0.005922133227189382,0.23861097084257402,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08222613334655762,0.08222613334655762,0.08222613334655762,1.6323001281638034,0.008444799979527792,0.10270214147046879,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.010674132903416952,0.010674132903416952,0.010674132903416952,3.143527657338679,0.006011733412742614,0.5632057860941724,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.016565333803494772,0.016565333803494772,0.016565333803494772,16.20465118205879,0.005963733295599619,0.36001286580421676,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.02684053381284078,0.02684053381284078,0.02684053381284078,80.00897683236919,0.008517332871754964,0.31733097900162427,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08823146820068359,0.08823146820068359,0.08823146820068359,194.7136269445746,0.021462400754292805,0.243251089344635,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.010441600282986959,0.010441600282986959,0.010441600282986959,3.2135334709826022,0.006116266548633576,0.5857594988192687,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,512,512,512,0.014549332857131957,0.014549332857131957,0.014549332857131957,18.450018199179166,0.005750399827957153,0.3952346052168541,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.0228000005086263,0.0228000005086263,0.0228000005086263,94.18787719708632,0.006813866893450419,0.2988538044493646,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.07689599990844727,0.07689599990844727,0.07689599990844727,223.41694242164,0.021597866217295328,0.28087112779611223,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010521599650382995,0.010521599650382995,0.010521599650382995,25.512798901280068,0.00576853354771932,0.5482563240760961,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.016245333353678386,0.016245333353678386,0.016245333353678386,132.1908021982049,0.0068234667181968685,0.42002626659869985,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.04838399887084961,0.04838399887084961,0.04838399887084961,355.0733627837968,0.021523199478785195,0.4448412694501878,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.3657653490702311,0.3657653490702311,0.3657653490702311,375.75717279224875,0.12884693145751952,0.3522666424937356,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.016636799772580466,0.016636799772580466,0.016636799772580466,129.0803325973378,0.008502399921417237,0.5110598214585872,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.04741973479588826,0.04741973479588826,0.04741973479588826,362.29365807186366,0.02174293398857117,0.45852078427179405,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.32017812728881834,0.32017812728881834,0.32017812728881834,429.25778420842124,0.12832213242848714,0.400783568556304,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.806695556640625,2.806695556640625,2.806695556640625,391.7459537692152,0.8516703923543294,0.3034423845291244,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.01660586694876353,0.01660586694876353,0.01660586694876353,129.32077889254083,0.006798933446407318,0.40942959903177867,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.046171732743581134,0.046171732743581134,0.046171732743581134,372.086299628605,0.02171199917793274,0.47024440903078685,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.31742719014485676,0.31742719014485676,0.31742719014485676,432.97788513101295,0.12841493288675945,0.40454925373014755,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,8192,8192,8192,2.7905865987141927,2.7905865987141927,2.7905865987141927,394.0073489504384,0.8507061640421549,0.30484850906763883,2.075,2.6975000000000002,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,1024,1024,1024,0.013083733121554057,0.013083733121554057,0.013083733121554057,164.13386210562865,0.008370133241017659,0.6397358585088193,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.031025065978368124,0.031025065978368124,0.031025065978368124,553.7415841751463,0.021461333831151327,0.6917417628093039,0.023,0.0299,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.17340693473815919,0.17340693473815919,0.17340693473815919,792.5804909678493,0.12793493270874023,0.7377728745503707,0.132,0.1716,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4458154042561848,1.4458154042561848,1.4458154042561848,760.4785676921567,0.8517930984497071,0.5891437426535936,1.109,1.4417,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.0207370658715566,0.0207370658715566,0.0207370658715566,103.55773865508786,0.008498133222262064,0.4098040327835523,0.015,0.0195,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.031021867195765176,0.031021867195765176,0.031021867195765176,553.798682573989,0.02127893368403117,0.6859333627389126,0.023,0.0299,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.14881280263264973,0.14881280263264973,0.14881280263264973,923.5694176882985,0.1282421350479126,0.8617681595882806,0.116,0.15080000000000002,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9229696273803711,0.9229696273803711,0.9229696273803711,1191.2760671190244,0.8514122645060221,0.9224705117573072,0.788,1.0244,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.028974932432174683,0.028974932432174683,0.028974932432174683,74.11522539446428,0.008370133241017659,0.28887498739162537,0.025,0.0325,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.0453439990679423,0.0453439990679423,0.0453439990679423,378.8785624809607,0.021423999468485513,0.47247706221024605,0.035,0.045500000000000006,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
