step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007422933479150137,0.007422933479150137,0.007422933479150137,0.28252334550627095,0.006193066636721293,0.8343152547596786,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007311999797821045,0.007311999797821045,0.007311999797821045,0.28680963593912373,0.006330666442712148,0.8657913864547245,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.016504533092180886,0.016504533092180886,0.016504533092180886,1.0165216977842468,0.005937066674232483,0.35972339484388083,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.024768000841140746,0.024768000841140746,0.024768000841140746,1.3547493079968167,0.006008533140023549,0.24259257654913793,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08213120301564535,0.08213120301564535,0.08213120301564535,1.6341868019933008,0.008416000008583068,0.10247019037307765,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.010710400342941285,0.010710400342941285,0.010710400342941285,3.132883078652996,0.005948799848556519,0.5554227347325154,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.016571733355522155,0.016571733355522155,0.016571733355522155,16.19839338716791,0.006123733520507812,0.3695288470513084,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.02681386669476827,0.02681386669476827,0.02681386669476827,80.08854793102265,0.006837333242098491,0.2549924380519331,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08830719788869222,0.08830719788869222,0.08830719788869222,194.54664619360423,0.021422932545344036,0.24259554212496706,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.01042133371035258,0.01042133371035258,0.01042133371035258,3.2197828927277268,0.006001066664854685,0.575844400692515,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,512,512,512,0.014599466323852539,0.014599466323852539,0.014599466323852539,18.386662227607008,0.005864533285299937,0.4016950452304199,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.02307093342145284,0.02307093342145284,0.02307093342145284,93.08178428546508,0.006756266454855601,0.29284755546878694,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.0764362653096517,0.0764362653096517,0.0764362653096517,224.76070899595192,0.02122880021731059,0.27773204422417014,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010453333457310995,0.010453333457310995,0.010453333457310995,25.679411940337364,0.006345599889755249,0.6070407985805883,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.016520532965660095,0.016520532965660095,0.016520532965660095,129.98876322354744,0.006780800223350525,0.4104468201749441,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.04546240170796712,0.04546240170796712,0.04546240170796712,377.89180814416346,0.02162239948908488,0.47561058537951445,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.36139094034830727,0.36139094034830727,0.36139094034830727,380.30547567002327,0.12881279786427816,0.35643615675625084,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.0165802667538325,0.0165802667538325,0.0165802667538325,129.52045222695907,0.0068682665626207985,0.4142434295294562,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.061681067943573,0.061681067943573,0.061681067943573,278.52742756847965,0.02132800022761027,0.34577871198860444,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.3143978754679362,0.3143978754679362,0.3143978754679362,437.1497525784543,0.12826026280721028,0.40795524656874116,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.7917887369791665,2.7917887369791665,2.7917887369791665,393.83769022784946,0.8523690541585286,0.30531287803704943,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.016572800278663636,0.016572800278663636,0.016572800278663636,129.57880454063883,0.0068469335635503135,0.41314282730874874,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.04530239899953206,0.04530239899953206,0.04530239899953206,379.22647725956966,0.021385600169499714,0.4720633044117732,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.31480960845947265,0.31480960845947265,0.31480960845947265,436.57801343663044,0.128055469195048,0.4067711586748896,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,8192,8192,8192,2.7835456848144533,2.7835456848144533,2.7835456848144533,395.0039813516808,0.8518346786499024,0.30602503968124534,2.075,2.6975000000000002,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,1024,1024,1024,0.012540800372759502,0.012540800372759502,0.012540800372759502,171.2397601563499,0.006899199883143107,0.5501403162535944,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.029219200213750202,0.029219200213750202,0.029219200213750202,587.965072908305,0.021358933051427206,0.730989653898054,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.16916799545288086,0.16916799545288086,0.16916799545288086,812.4406339630684,0.12780160109202068,0.7554715107303961,0.132,0.1716,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4298453013102213,1.4298453013102213,1.4298453013102213,768.9724383249544,0.8518517176310222,0.595764952229754,1.109,1.4417,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.018639999628067016,0.018639999628067016,0.018639999628067016,115.20835251340054,0.006832000116507212,0.3665236187140255,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.02892799973487854,0.02892799973487854,0.02892799973487854,593.8837576552588,0.02124906579653422,0.7345501241454377,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.14396905899047852,0.14396905899047852,0.14396905899047852,954.642299086567,0.1280949354171753,0.8897393392398775,0.116,0.15080000000000002,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9024906794230143,0.9024906794230143,0.9024906794230143,1218.3080145259187,0.852239990234375,0.9443199909601661,0.788,1.0244,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.02893120050430298,0.02893120050430298,0.02893120050430298,74.22725675281265,0.0069130669037501015,0.2389484979277618,0.025,0.0325,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.046054399013519286,0.046054399013519286,0.046054399013519286,373.0342714700683,0.0212991992632548,0.46247914899513537,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,4096,4096,4096,0.14171199798583983,0.14171199798583983,0.14171199798583983,969.846981380738,0.12809066772460936,0.9038801904226095,0.107,0.1391,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,8192,8192,8192,0.8747573216756185,0.8747573216756185,0.8747573216756185,1256.9333237129806,0.852075703938802,0.974070959825327,0.728,0.9464,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
