step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007480533421039581,0.007480533421039581,0.007480533421039581,0.28034792199465314,0.006067200005054474,0.8110651558604101,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007428266604741414,0.007428266604741414,0.007428266604741414,0.2823205078101803,0.006083199878533682,0.818925895127514,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.01651520033677419,0.01651520033677419,0.01651520033677419,1.0158651216989711,0.005966933568318685,0.361299496623858,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.02481493353843689,0.02481493353843689,0.02481493353843689,1.3521870589750373,0.006229333579540253,0.2510316447106891,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08222506841023763,0.08222506841023763,0.08222506841023763,1.6323212688660882,0.008384000261624653,0.10196404118261315,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.01069546639919281,0.01069546639919281,0.01069546639919281,3.1372574834634945,0.006073600053787232,0.5678667789789521,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.016571733355522155,0.016571733355522155,0.016571733355522155,16.19839338716791,0.006668800115585327,0.40242019181192656,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.026838399966557822,0.026838399966557822,0.026838399966557822,80.01533812283472,0.006828799843788147,0.254441391897327,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08831146558125814,0.08831146558125814,0.08831146558125814,194.53724463662383,0.02149440050125122,0.2433930901245609,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.01044480005900065,0.01044480005900065,0.01044480005900065,3.2125490014607765,0.006410666803518931,0.6137663495046642,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,512,512,512,0.014588800072669984,0.014588800072669984,0.014588800072669984,18.40010519459206,0.00595413347085317,0.4081304453549529,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.023670399188995363,0.023670399188995363,0.023670399188995363,90.72443733852995,0.006853333115577698,0.28953179288855807,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.07674453258514405,0.07674453258514405,0.07674453258514405,223.85789065742023,0.021321600675582884,0.27782566337123343,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010547199845314026,0.010547199845314026,0.010547199845314026,25.450874159672072,0.005982933441797892,0.5672532548490609,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.016078933080037435,0.016078933080037435,0.016078933080037435,133.55883983783582,0.00701333334048589,0.4361815118935467,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.04863786697387695,0.04863786697387695,0.04863786697387695,353.2200372443796,0.021721599499384563,0.44659852190991595,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.36564480463663734,0.36564480463663734,0.36564480463663734,375.88105103416177,0.12852906386057536,0.35151344209116336,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.016577066977818807,0.016577066977818807,0.016577066977818807,129.54545281583725,0.007008000214894613,0.42275272364355965,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.04734400113423665,0.04734400113423665,0.04734400113423665,362.8731998229114,0.021578667561213176,0.4557846198936624,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.319650141398112,0.319650141398112,0.319650141398112,429.9668158157485,0.12864426771799722,0.40245334212999995,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.8057278951009113,2.8057278951009113,2.8057278951009113,391.88106219988765,0.8523786544799805,0.30379947248923217,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.01664959987004598,0.01664959987004598,0.01664959987004598,128.98109652854194,0.006830933193365733,0.4102761175453322,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.04536746740341187,0.04536746740341187,0.04536746740341187,378.6825707336704,0.021690666675567627,0.47811059151025864,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.3166250546773275,0.3166250546773275,0.3166250546773275,434.07478796036526,0.12813759644826253,0.40469822130420957,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,8192,8192,8192,2.792291259765625,2.792291259765625,2.792291259765625,393.7668120868914,0.8516159693400065,0.3049882301359523,2.075,2.6975000000000002,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,1024,1024,1024,0.01295680006345113,0.01295680006345113,0.01295680006345113,165.74182186060557,0.006950399776299795,0.5364287279469302,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.030973867575327555,0.030973867575327555,0.030973867575327555,554.6568939839061,0.021197867393493653,0.6843790928575855,0.023,0.0299,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.1728480021158854,0.1728480021158854,0.1728480021158854,795.1434311624527,0.12809600035349528,0.7410904308145472,0.132,0.1716,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4491317749023438,1.4491317749023438,1.4491317749023438,758.738195392959,0.852618662516276,0.5883651696021458,1.109,1.4417,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.020665599902470907,0.020665599902470907,0.020665599902470907,103.91586298654866,0.006832000116507212,0.33059771546677125,0.015,0.0195,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.029460267225901286,0.029460267225901286,0.029460267225901286,583.15388154034,0.02132373253504435,0.7238132760824605,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.1485962708791097,0.1485962708791097,0.1485962708791097,924.9152260611795,0.1283018668492635,0.8634258860617258,0.116,0.15080000000000002,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9199349085489908,0.9199349085489908,0.9199349085489908,1195.2058972414197,0.852180290222168,0.9263484647694348,0.788,1.0244,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.028884265820185342,0.028884265820185342,0.028884265820185342,74.3478702684997,0.006805333495140076,0.235606940384279,0.025,0.0325,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.04534293413162231,0.04534293413162231,0.04534293413162231,378.88746092456114,0.021244800090789794,0.46853606846702933,0.035,0.045500000000000006,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,4096,4096,4096,0.14416426022847492,0.14416426022847492,0.14416426022847492,953.3496946759446,0.12831146717071534,0.8900365941417402,0.107,0.1391,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,8192,8192,8192,0.8828682581583659,0.8828682581583659,0.8828682581583659,1245.3858405438032,0.8530954360961914,0.9662771633399987,0.728,0.9464,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
