step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007398400207360586,0.007398400207360586,0.007398400207360586,0.2834601996677021,0.006413866579532623,0.866926146162185,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007377066711584727,0.007377066711584727,0.007377066711584727,0.28427992886477416,0.006300800045331319,0.8541064208402412,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.016566399733225504,0.016566399733225504,0.016566399733225504,1.0127255330167897,0.005891199906667074,0.35561135802196703,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.024829866488774617,0.024829866488774617,0.024829866488774617,1.3513738390486187,0.00621013343334198,0.2501074033623794,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08217066923777262,0.08217066923777262,0.08217066923777262,1.6334019090391212,0.008396800359090168,0.1021873186257352,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.010678399602572124,0.010678399602572124,0.010678399602572124,3.142271618297342,0.0059232001503308615,0.5546898758971457,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.01660053332646688,0.01660053332646688,0.01660053332646688,16.170291081674037,0.006026666859785716,0.36304055666555995,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.026820266246795656,0.026820266246795656,0.026820266246795656,80.0694380972661,0.006819200019041697,0.25425549307723294,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08826773166656494,0.08826773166656494,0.08826773166656494,194.63363178854166,0.021308799584706623,0.24141097978139403,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.010407466689745586,0.010407466689745586,0.010407466689745586,3.22407296610048,0.005794133245944977,0.5567284929822452,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,512,512,512,0.014589866995811463,0.014589866995811463,0.014589866995811463,18.39875963756653,0.005827199916044871,0.3994004823839569,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.02416320045789083,0.02416320045789083,0.02416320045789083,88.87413948919625,0.006967466572920481,0.28835031953083673,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.07740800380706787,0.07740800380706787,0.07740800380706787,221.9391837931798,0.021242666244506835,0.2744246744490682,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010486400127410889,0.010486400127410889,0.010486400127410889,25.598437284337844,0.005795200169086456,0.5526396188085664,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.01574613352616628,0.01574613352616628,0.01574613352616628,136.38164851272217,0.006983466446399689,0.44350357087947023,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.04577386776606242,0.04577386776606242,0.04577386776606242,375.3204617053896,0.021357866128285725,0.46659518128203353,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.36224212646484377,0.36224212646484377,0.36224212646484377,379.4118448157318,0.12837013403574626,0.3543766024358429,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.016571733355522155,0.016571733355522155,0.016571733355522155,129.5871470973433,0.007214933137098948,0.4353758887083912,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.06171306769053141,0.06171306769053141,0.06171306769053141,278.38300423098065,0.021385600169499714,0.34653276801504534,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.3144480069478353,0.3144480069478353,0.3144480069478353,437.08005913613613,0.12798293431599936,0.4070082541093378,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.7869972229003905,2.7869972229003905,2.7869972229003905,394.51479131068277,0.8506826400756836,0.3052326830775919,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.01658560037612915,0.01658560037612915,0.01658560037612915,129.4788008452663,0.006827733417352041,0.41166634083254927,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.04522666533788045,0.04522666533788045,0.04522666533788045,379.86150550017834,0.02155733307202657,0.47665095162279886,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.31475947697957357,0.31475947697957357,0.31475947697957357,436.64754685343166,0.1279040018717448,0.4063547286935071,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,8192,8192,8192,2.7820671081542967,2.7820671081542967,2.7820671081542967,395.21391290429636,0.8521439870198567,0.30629886120367295,2.075,2.6975000000000002,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,1024,1024,1024,0.01251626710096995,0.01251626710096995,0.01251626710096995,171.57540907972316,0.006841599941253662,0.5466166458467054,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.029011199871699016,0.029011199871699016,0.029011199871699016,592.1805806025725,0.02145919998486837,0.7396867444218407,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.16931947072347006,0.16931947072347006,0.16931947072347006,811.7138146295247,0.12813546657562255,0.7567674646520212,0.132,0.1716,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4318101247151693,1.4318101247151693,1.4318101247151693,767.9172041018543,0.8513813018798828,0.5946188584532104,1.109,1.4417,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.01864746610323588,0.01864746610323588,0.01864746610323588,115.16222290530663,0.006830933193365733,0.3663196466237505,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.028910932938257854,0.028910932938257854,0.028910932938257854,594.2343410601554,0.021574399868647256,0.7462367234817885,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.14373973210652669,0.14373973210652669,0.14373973210652669,956.1653653990593,0.1277237335840861,0.8885763992479755,0.116,0.15080000000000002,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9030453364054362,0.9030453364054362,0.9030453364054362,1217.5597209245288,0.8521066665649414,0.9435923449388979,0.788,1.0244,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.028892799218495687,0.028892799218495687,0.028892799218495687,74.32591185644938,0.006814933319886526,0.23586961126023245,0.025,0.0325,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.04532693227132161,0.04532693227132161,0.04532693227132161,379.0212203456293,0.021625600258509316,0.47710266666760176,0.035,0.045500000000000006,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,4096,4096,4096,0.14157759348551432,0.14157759348551432,0.14157759348551432,970.7676906237442,0.12848532994588216,0.907525878796833,0.107,0.1391,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,8192,8192,8192,0.8734314600626628,0.8734314600626628,0.8734314600626628,1258.841337930646,0.8518357594807943,0.9752748766568138,0.728,0.9464,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
