step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007348266740640004,0.007348266740640004,0.007348266740640004,0.2853941036736708,0.0059445331494013464,0.8089707898768522,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007364266614119212,0.007364266614119212,0.007364266614119212,0.28477404606443973,0.005864533285299937,0.7963499412224028,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.0165503998597463,0.0165503998597463,0.0165503998597463,1.0137045716221855,0.00584853341182073,0.353377166798578,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.02483733296394348,0.02483733296394348,0.02483733296394348,1.3509675957845872,0.006089599927266439,0.24517930069652613,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08223360379536947,0.08223360379536947,0.08223360379536947,1.6321518431076925,0.008328533172607422,0.10127895152609617,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.012239999572436015,0.012239999572436015,0.012239999572436015,2.741375259159586,0.005904000004132589,0.48235295836350833,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.016565333803494772,0.016565333803494772,0.016565333803494772,16.20465118205879,0.006151466568311056,0.3713457658796641,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.026809600989023845,0.026809600989023845,0.026809600989023845,80.1012909098947,0.0073066666722297665,0.27253918009526507,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08831040064493816,0.08831040064493816,0.08831040064493816,194.53959056389732,0.021546665827433267,0.24398786179290533,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.010737066467603048,0.010737066467603048,0.010737066467603048,3.1251023825961948,0.00586346685886383,0.5460957959565277,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
