step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda,samples_ms,cublas_samples_ms,git_revision,git_dirty,gemm_kernels_sha256,utils_sha256,benchmark_sha256,benchmark_diagnostics_sha256,compiler,ptxas_reg_level,TVM_CUDA_PTXAS_EXTRA_OPTS,TVM_CUDA_NVRTC_EXTRA_OPTS,TVM_CUDA_NVCC_NO_FAST_MATH,TVM_KERNEL_DEBUG,TVM_KERNEL_DUMP,CUDA_LAUNCH_BLOCKING,CUDA_VISIBLE_DEVICES,target
1,128,128,64,0.008413867155710856,0.008413867155710856,0.008413867155710856,0.24924947841333242,0.005987200140953064,0.7115871964877996,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.008413867155710856],[0.005987200140953064],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,64,0.008348799745241801,0.008348799745241801,0.008348799745241801,0.2511920352617419,0.006121600170930227,0.7332311658833459,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.008348799745241801],[0.006121600170930227],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,512,0.01660053332646688,0.01660053332646688,0.01660053332646688,1.0106431926046273,0.005927466849486033,0.35706484441892244,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.01660053332646688],[0.005927466849486033],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,1024,0.026821333169937133,0.026821333169937133,0.026821333169937133,1.251035203485325,0.006199466685454051,0.23113939363770195,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.026821333169937133],[0.006199466685454051],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,4096,0.08413653373718262,0.08413653373718262,0.08413653373718262,1.595237194097585,0.008621866504351297,0.10247470535550503,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.08413653373718262],[0.008621866504351297],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,256,256,256,0.011504000425338745,0.011504000425338745,0.011504000425338745,2.9167620618383245,0.006313600142796834,0.5488177946247706,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.011504000425338745],[0.006313600142796834],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,512,512,512,0.016545066237449647,0.016545066237449647,0.016545066237449647,16.224501742543534,0.0062720000743865965,0.37908582440062805,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.016545066237449647],[0.0062720000743865965],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,1024,1024,1024,0.026845866441726686,0.026845866441726686,0.026845866441726686,79.99308395061348,0.00687360018491745,0.2560394241637801,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.026845866441726686],[0.00687360018491745],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,2048,2048,2048,0.08913919925689698,0.08913919925689698,0.08913919925689698,192.73079999841642,0.021923200289408366,0.24594342861692353,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.08913919925689698],[0.021923200289408366],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,256,256,256,0.00951253374417623,0.00951253374417623,0.00951253374417623,3.5273916395348106,0.005902933577696483,0.6205427214710677,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.00951253374417623],[0.005902933577696483],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,512,512,512,0.012501333157221477,0.012501333157221477,0.012501333157221477,21.47254637757866,0.0056874667604764305,0.4549488193737984,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.012501333157221477],[0.0056874667604764305],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,1024,1024,1024,0.01868586738904317,0.01868586738904317,0.01868586738904317,114.92555326916317,0.006874666611353556,0.3679072781702739,0.017,0.0221,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.01868586738904317],[0.006874666611353556],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,2048,2048,2048,0.035104000568389894,0.035104000568389894,0.035104000568389894,489.39918259544356,0.021986132860183714,0.6263141665962019,0.052,0.0676,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.035104000568389894],[0.021986132860183714],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,512,512,512,0.010528000195821126,0.010528000195821126,0.010528000195821126,25.497288279549043,0.005756799876689911,0.5468084887550586,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.010528000195821126],[0.005756799876689911],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,1024,1024,1024,0.015121066570281982,0.015121066570281982,0.015121066570281982,142.01932370435648,0.00691840002934138,0.4575338649019891,0.012,0.015600000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.015121066570281982],[0.00691840002934138],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,2048,2048,2048,0.032646399736404416,0.032646399736404416,0.032646399736404416,526.2408511417725,0.02190186580022176,0.6708815053746557,0.033,0.0429,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.032646399736404416],[0.02190186580022176],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,4096,4096,4096,0.2091093381245931,0.2091093381245931,0.2091093381245931,657.2588039569524,0.13079466819763183,0.6254845879704366,0.272,0.3536,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.2091093381245931],[0.13079466819763183],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,1024,1024,1024,0.014495999614397685,0.014495999614397685,0.014495999614397685,148.14319157866706,0.007112533350785573,0.4906549075595503,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.014495999614397685],[0.007112533350785573],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,2048,2048,2048,0.04192639986673991,0.04192639986673991,0.04192639986673991,409.76256579637163,0.021828265984853108,0.5206329676345383,0.035,0.045500000000000006,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.04192639986673991],[0.021828265984853108],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,4096,4096,4096,0.24701654116312663,0.24701654116312663,0.24701654116312663,556.3957491463578,0.13087039788564045,0.5298041874823892,0.239,0.3107,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.24701654116312663],[0.13087039788564045],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,8192,8192,8192,1.9766826629638672,1.9766826629638672,1.9766826629638672,556.2408414749668,0.8603082656860351,0.43522831550314517,2.143,2.7859,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[1.9766826629638672],[0.8603082656860351],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,1024,1024,1024,0.01448853313922882,0.01448853313922882,0.01448853313922882,148.21953522579332,0.006874666611353556,0.4744901740770338,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.01448853313922882],[0.006874666611353556],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,2048,2048,2048,0.035028266906738284,0.035028266906738284,0.035028266906738284,490.4572992360966,0.021962666511535646,0.6269983773393811,0.031,0.0403,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.035028266906738284],[0.021962666511535646],2d1cde37a8234a87d832936166e50fd3488151f3,True,36537ab6799ed82578289c84d68fb14cbe8c985421449365e60f91256c9fc994,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
