step,M,N,K,registers_per_thread,frame_bytes,minimum_stack_bytes,sass_bytes
4,1024,1024,1024,164,0,0,19456
4,2048,2048,2048,164,0,0,33536
4,256,256,256,164,0,0,8832
4,512,512,512,164,0,0,12416
5,1024,1024,1024,164,0,0,19968
5,2048,2048,2048,164,0,0,34304
5,4096,4096,4096,164,0,0,20736
5,512,512,512,164,0,0,12800
6,1024,1024,1024,164,0,0,20352
6,2048,2048,2048,150,0,0,8192
6,4096,4096,4096,150,0,0,8192
6,8192,8192,8192,150,0,0,8192
7,1024,1024,1024,106,0,0,13696
7,2048,2048,2048,128,8,8,12032
7,4096,4096,4096,128,8,8,12032
7,8192,8192,8192,128,8,8,12032
8,1024,1024,1024,106,0,0,14080
8,2048,2048,2048,106,0,0,12416
8,4096,4096,4096,106,0,0,12288
8,8192,8192,8192,106,0,0,12288
10,1024,1024,1024,168,96,96,17024
10,2048,2048,2048,168,96,96,17024
10,4096,4096,4096,168,32,32,17408
10,8192,8192,8192,168,32,32,17536
