step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
8,1024,1024,1024,0.012991999586423239,0.01276693344116211,0.013521066308021546,165.29277373470214,0.006775466601053873,0.5215106847859123,0.014,0.0182,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.03087573250134786,0.03080000082651774,0.03097920020421346,556.4198090927891,0.021230934063593547,0.6876252753733608,0.023,0.0299,SLOW,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.17394347190856935,0.17381226221720378,0.17434239387512207,790.1357375702069,0.12691199779510498,0.7296163311136751,0.132,0.1716,SLOW,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4485738118489584,1.446399943033854,1.450113042195638,759.0304469004477,0.8522015889485677,0.58830387652861,1.109,1.4417,SLOW,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.020593067010243733,0.02056000034014384,0.02068480054537455,104.2818753967908,0.006783999999364217,0.32943125936460127,0.015,0.0195,SLOW,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.0293887992699941,0.028922667105992634,0.02999146580696106,584.5720005832497,0.021205333868662517,0.721544751585449,0.023,0.0299,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.14801920255025228,0.14756266276041666,0.14901866912841796,928.5211047217991,0.1279093345006307,0.8641401405821362,0.116,0.15080000000000002,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9229504267374674,0.9202613194783529,0.9232106526692708,1191.3008498870927,0.8513365427652995,0.9224076592874924,0.788,1.0244,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.028802132606506346,0.028789333502451577,0.028878933191299437,74.55988337179197,0.006781866649786631,0.23546404505667126,0.025,0.0325,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.045196799437205,0.045186134179433186,0.04531626701354981,380.1125167694488,0.021177599827448528,0.4685641481510658,0.035,0.045500000000000006,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,4096,4096,4096,0.14374613761901855,0.1418549378712972,0.1440074602762858,956.1227574424646,0.1272266705830892,0.8850788806603475,0.107,0.1391,SLOW,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,8192,8192,8192,0.8819541295369466,0.8804746627807617,0.8834453582763672,1246.6766591968653,0.8519733428955079,0.9660064104953172,0.728,0.9464,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
