step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
8,2048,1,tma,1789333573911249408,1789333573911260320,8576,1280,0,0,170550279739564,170550279749769,142,0,0,0,0,0,0,0,10912,1056
8,2048,1,tma,1789333573911260448,1789333573911271360,8672,1024,0,0,170550279749902,170550279760972,142,12,2,0,0,0,1,0,10912,1216
8,2048,1,tma,1789333573911249408,1789333573911260288,8512,1152,0,0,170550279739555,170550279749744,143,1,0,1,1,0,0,0,10880,1216
8,2048,1,tma,1789333573911260416,1789333573911271328,8768,1088,0,0,170550279749876,170550279760953,143,13,2,1,1,0,1,0,10912,1056
8,2048,1,tma,1789333573911249408,1789333573911260288,8576,1152,0,0,170550279739561,170550279749738,144,2,0,2,2,0,0,0,10880,1152
8,2048,1,tma,1789333573911260416,1789333573911271232,8640,1344,0,0,170550279749870,170550279760863,144,14,2,2,2,0,1,0,10816,832
8,2048,1,tma,1789333573911249408,1789333573911260256,8480,1312,0,0,170550279739568,170550279749719,145,3,0,3,3,0,0,0,10848,1056
8,2048,1,tma,1789333573911260416,1789333573911271264,8704,1120,0,0,170550279749853,170550279760874,145,15,2,3,3,0,1,0,10848,1024
8,2048,1,tma,1789333573911249376,1789333573911260192,8576,1152,0,0,170550279739543,170550279749649,146,4,0,4,4,0,0,0,10816,1088
8,2048,1,tma,1789333573911260320,1789333573911271200,8672,1152,0,0,170550279749784,170550279760812,146,8,3,4,4,0,1,0,10880,1056
8,2048,1,tma,1789333573911249376,1789333573911260192,8544,1152,0,0,170550279739546,170550279749661,147,5,0,5,5,0,0,0,10816,1120
8,2048,1,tma,1789333573911260352,1789333573911271200,8672,1088,0,0,170550279749795,170550279760827,147,9,3,5,5,0,1,0,10848,1088
8,2048,1,tma,1789333573911249376,1789333573911260000,8320,1216,0,0,170550279739534,170550279749493,0,6,0,6,6,0,0,0,10624,1088
8,2048,1,tma,1789333573911260160,1789333573911270880,8736,1152,0,0,170550279749626,170550279760509,0,10,3,6,6,0,1,0,10720,832
8,2048,1,tma,1789333573911249376,1789333573911260000,8288,1184,0,0,170550279739535,170550279749489,1,7,0,7,7,0,0,0,10624,1152
8,2048,1,tma,1789333573911260128,1789333573911270912,8576,1056,0,0,170550279749624,170550279760523,1,11,3,7,7,0,1,0,10784,1152
8,2048,1,tma,1789333573911249376,1789333573911260096,8448,1088,0,0,170550279739547,170550279749588,16,0,1,8,8,0,0,0,10720,1184
8,2048,1,tma,1789333573911260256,1789333573911271200,8640,1152,0,0,170550279749722,170550279760814,16,12,3,8,8,0,1,0,10944,1152
8,2048,1,tma,1789333573911249376,1789333573911260096,8480,1152,0,0,170550279739549,170550279749589,17,1,1,9,9,0,0,0,10720,1088
8,2048,1,tma,1789333573911260256,1789333573911271168,8672,1248,0,0,170550279749724,170550279760788,17,13,3,9,9,0,1,0,10912,992
8,2048,1,tma,1789333573911249376,1789333573911260192,8480,1280,0,0,170550279739547,170550279749668,32,2,1,10,10,0,0,0,10816,1056
8,2048,1,tma,1789333573911260352,1789333573911271200,8608,1152,0,0,170550279749800,170550279760818,32,14,3,10,10,0,1,0,10848,1088
8,2048,1,tma,1789333573911249376,1789333573911260192,8544,1248,0,0,170550279739548,170550279749670,33,3,1,11,11,0,0,0,10816,1024
8,2048,1,tma,1789333573911260352,1789333573911271232,8736,1088,0,0,170550279749802,170550279760859,33,15,3,11,11,0,1,0,10880,1056
8,2048,1,tma,1789333573911249408,1789333573911260192,8576,1152,0,0,170550279739560,170550279749655,48,4,1,12,12,0,0,0,10784,1056
8,2048,1,tma,1789333573911260352,1789333573911271264,8896,1088,0,0,170550279749790,170550279760894,48,8,4,12,12,0,1,0,10912,928
8,2048,1,tma,1789333573911249408,1789333573911260192,8384,1216,0,0,170550279739566,170550279749674,49,5,1,13,13,0,0,0,10784,1184
8,2048,1,tma,1789333573911260352,1789333573911271264,8736,1088,0,0,170550279749809,170550279760897,49,9,4,13,13,0,1,0,10912,1088
8,2048,1,tma,1789333573911249376,1789333573911260192,8416,1216,0,0,170550279739540,170550279749677,64,6,1,14,14,0,0,0,10816,1184
8,2048,1,tma,1789333573911260352,1789333573911271360,8800,992,0,0,170550279749812,170550279760973,64,10,4,14,14,0,1,0,11008,1216
8,2048,1,tma,1789333573911249376,1789333573911260224,8544,1152,0,0,170550279739549,170550279749689,65,7,1,15,15,0,0,0,10848,1152
8,2048,1,tma,1789333573911260384,1789333573911271232,8896,1056,0,0,170550279749824,170550279760869,65,11,4,15,15,0,1,0,10848,896
8,2048,1,tma,1789333573911249600,1789333573911260096,8160,1184,0,0,168621434409148,168621434419212,2,0,2,16,16,0,0,0,10496,1152
8,2048,1,tma,1789333573911260256,1789333573911271488,8960,1088,0,0,168621434419348,168621434430356,2,12,4,16,16,0,1,0,11232,1184
8,2048,1,tma,1789333573911249600,1789333573911260096,8352,1152,0,0,168621434409152,168621434419188,3,1,2,17,17,0,0,0,10496,992
8,2048,1,tma,1789333573911260224,1789333573911271392,9024,1088,0,0,168621434419321,168621434430248,3,13,4,17,17,0,1,0,11168,1056
8,2048,1,tma,1789333573911249600,1789333573911260256,8384,1344,0,0,168621434409158,168621434419356,18,2,2,18,18,0,0,0,10656,928
