step,size,role,cta_rank,consumer,tile_ordinal,records,median_us,max_us,wait_pct,work_pct,handoff_pct,epilogue_pct,unmeasured_pct,cycles_per_ns
10,4096,mma,0,0,0,448,32.736,34.592,71.28433633657178,12.161264539790187,0.1670401658641334,0.0,16.387358957773902,1.018164860263399
10,4096,mma,0,0,1,448,31.008,32.256,71.87309503380345,12.12415376369563,0.18379688948493164,0.0,15.818954313015995,1.0821235930873119
10,4096,mma,0,0,2,448,30.88,32.192,71.95305502460825,12.122681145368755,0.1752126097675836,0.0,15.749051220255408,1.087305694265464
10,4096,mma,0,0,3,448,30.784,31.712,71.943530130689,12.089542565356073,0.1729094621057456,0.0,15.794017841849183,1.0919320120259528
10,4096,mma,0,1,0,448,32.736,34.592,71.1549515341003,12.15283523335917,0.16351253668690072,0.0,16.52870069585362,1.0182264290865746
10,4096,mma,0,1,1,448,31.008,32.256,71.75347230209373,12.118207790654344,0.18448401981938048,0.0,15.943835887432543,1.0822485453188713
10,4096,mma,0,1,2,448,30.88,32.192,71.73143570928855,12.086039579499564,0.18032661976481346,0.0,16.00219809144707,1.0875580429411262
10,4096,mma,0,1,3,448,30.784,31.68,71.67226248639636,12.12679741588904,0.17667353601778313,0.0,16.024266561696805,1.0919568331062064
10,4096,tma,0,0,0,448,32.528,34.656,80.71591787910587,10.010976034562459,0.0,0.0,9.27310608633166,0.9990979362936581
10,4096,tma,0,0,1,448,31.52,32.672,81.14962671067296,9.802448342159563,0.0,0.0,9.047924947167473,1.0616407698577632
10,4096,tma,0,0,2,448,31.232,32.8,81.35782263993754,9.701334559467906,0.0,0.0,8.940842800594554,1.0853900127012737
10,4096,tma,0,0,3,448,30.848,31.872,81.25939771355075,9.7181032927275,0.0,0.0,9.022498993721749,1.092859973234496
10,4096,tma,1,0,0,448,32.544,34.656,81.32715001412933,9.344201604829824,0.0,0.0,9.32864838104084,0.999188802233222
10,4096,tma,1,0,1,448,31.536,32.608,81.82874784345773,9.19004812494325,0.0,0.0,8.981204031599018,1.06215049903233
10,4096,tma,1,0,2,448,31.232,32.736,82.01574100627728,9.076114912077058,0.0,0.0,8.90814408164566,1.0852012888026608
10,4096,tma,1,0,3,448,30.848,31.84,81.9202139225456,9.115996539488233,0.0,0.0,8.963789537966163,1.0928161908429934
10,4096,writeback,0,0,0,448,38.976,40.416,86.12208064241,1.036689490220966,0.0,12.424683187911892,0.41654667945715035,1.023610337759846
10,4096,writeback,0,0,1,448,30.72,31.968,83.25689832710773,1.2651872444579777,0.0,15.026510124054829,0.45140430437945855,1.0900956401703978
10,4096,writeback,0,0,2,448,31.04,32.864,83.19168159048431,1.2301517056831583,0.0,15.129417660757678,0.44874904307485053,1.0919525500462313
10,4096,writeback,0,0,3,448,28.096,29.6,91.1739255108851,1.1129974040211028,0.0,7.2662032983903915,0.4468737867034113,1.10260649800086
10,4096,writeback,0,1,0,448,38.8,40.416,86.47993263275825,1.004796414942408,0.0,12.031944160369415,0.4833267919299351,1.0228419181161812
10,4096,writeback,0,1,1,448,30.656,31.84,83.87647929682771,1.1955418579316381,0.0,14.438681924412704,0.4892969208279407,1.089839659685864
10,4096,writeback,0,1,2,448,30.976,32.16,84.0220284111202,1.171008214569628,0.0,14.326301600285724,0.4806617740244479,1.0918767732869379
10,4096,writeback,0,1,3,448,28.224,29.76,91.56618299967711,1.0534388117533096,0.0,6.924291653212786,0.4560865353567969,1.1022414875258884
10,4096,writeback,1,0,0,448,38.976,40.384,86.1615322398719,0.9014362456234949,0.0,12.517400562320148,0.4196309521844469,1.0232732666697215
10,4096,writeback,1,0,1,448,30.752,31.872,83.3516881813366,1.1421826934693915,0.0,15.066542132508062,0.4395869926859416,1.0901155855016482
10,4096,writeback,1,0,2,448,31.04,32.256,83.31824053175694,1.1354077124982187,0.0,15.125515415343173,0.42083634040166773,1.0919697206938141
10,4096,writeback,1,0,3,448,28.192,29.888,91.1537770489646,1.1073911272057353,0.0,7.305086761665439,0.4337450621642208,1.102865294895407
10,4096,writeback,1,1,0,448,38.72,40.32,86.66936132828361,0.9442389611156637,0.0,11.903944541649134,0.4824551689515921,1.0230457651208646
10,4096,writeback,1,1,1,448,30.688,31.744,84.22994295184074,1.1116361021048,0.0,14.21339409780815,0.4450268482463103,1.0900356221954324
10,4096,writeback,1,1,2,448,30.992,32.16,84.35666220823559,1.0859080580961962,0.0,14.116344332075611,0.4410854015926038,1.0919252998634144
10,4096,writeback,1,1,3,448,28.416,29.76,91.6668341759048,1.0427450073871574,0.0,6.841663567745761,0.44875724896228025,1.1021797260710304
