step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
10,4096,1,tma,1789358306023332416,1789358306023364128,25472,3136,0,0,101808166245050,101808166277561,142,0,0,0,0,0,0,0,31712,3104
10,4096,1,tma,1789358306023364224,1789358306023395904,25696,3296,0,0,101808166277689,101808166311438,142,0,8,0,0,0,1,0,31680,2688
10,4096,1,tma,1789358306023396032,1789358306023427488,25792,3040,0,0,101808166311566,101808166345747,142,0,16,0,0,0,2,0,31456,2624
10,4096,1,tma,1789358306023427616,1789358306023458592,25344,3072,0,0,101808166345876,101808166379796,142,0,24,0,0,0,3,0,30976,2560
10,4096,1,tma,1789358306023332416,1789358306023364128,25856,2880,0,0,101808166245051,101808166277557,143,0,0,1,0,1,0,0,31712,2976
10,4096,1,tma,1789358306023364224,1789358306023395936,26112,2912,0,0,101808166277685,101808166311493,143,0,8,1,0,1,1,0,31712,2688
10,4096,1,tma,1789358306023396064,1789358306023427520,25792,2848,0,0,101808166311621,101808166345751,143,0,16,1,0,1,2,0,31456,2816
10,4096,1,tma,1789358306023427648,1789358306023458592,25312,2848,0,0,101808166345879,101808166379799,143,0,24,1,0,1,3,0,30944,2784
10,4096,1,tma,1789358306023332448,1789358306023364928,26112,3200,0,0,101590648516697,101590648549095,144,1,0,2,1,0,0,0,32480,3168
10,4096,1,tma,1789358306023365056,1789358306023397184,26208,3136,0,0,101590648549225,101590648582494,144,1,8,2,1,0,1,0,32128,2784
10,4096,1,tma,1789358306023397312,1789358306023428544,25248,3104,0,0,101590648582622,101590648615947,144,1,16,2,1,0,2,0,31232,2880
10,4096,1,tma,1789358306023428672,1789358306023459232,24768,3104,0,0,101590648616079,101590648649486,144,1,24,2,1,0,3,0,30560,2688
10,4096,1,tma,1789358306023332448,1789358306023364928,26176,3008,0,0,101590648516698,101590648549100,145,1,0,3,1,1,0,0,32480,3296
10,4096,1,tma,1789358306023365056,1789358306023397184,26400,2752,0,0,101590648549228,101590648582499,145,1,8,3,1,1,1,0,32128,2976
10,4096,1,tma,1789358306023397312,1789358306023428544,25408,2912,0,0,101590648582627,101590648615951,145,1,16,3,1,1,2,0,31232,2912
10,4096,1,tma,1789358306023428672,1789358306023459232,24960,2816,0,0,101590648616079,101590648649490,145,1,24,3,1,1,3,0,30560,2784
10,4096,1,tma,1789358306023332448,1789358306023364160,25696,3072,0,0,101808166245075,101808166277600,146,2,0,4,2,0,0,0,31712,2944
10,4096,1,tma,1789358306023364288,1789358306023395872,25696,3200,0,0,101808166277729,101808166311417,146,2,8,4,2,0,1,0,31584,2688
10,4096,1,tma,1789358306023396000,1789358306023427584,25760,3072,0,0,101808166311545,101808166345826,146,2,16,4,2,0,2,0,31584,2752
10,4096,1,tma,1789358306023427712,1789358306023458720,25344,3008,0,0,101808166345956,101808166379926,146,2,24,4,2,0,3,0,31008,2656
10,4096,1,tma,1789358306023332448,1789358306023364160,25664,3104,0,0,101808166245076,101808166277602,147,2,0,5,2,1,0,0,31712,2944
10,4096,1,tma,1789358306023364288,1789358306023395936,26048,2912,0,0,101808166277730,101808166311491,147,2,8,5,2,1,1,0,31648,2688
10,4096,1,tma,1789358306023396064,1789358306023427616,25760,2784,0,0,101808166311619,101808166345848,147,2,16,5,2,1,2,0,31552,3008
10,4096,1,tma,1789358306023427712,1789358306023458752,25472,2752,0,0,101808166345976,101808166379948,147,2,24,5,2,1,3,0,31040,2816
10,4096,1,tma,1789358306023332448,1789358306023364032,25536,3200,0,0,101808166245053,101808166277462,0,3,0,6,3,0,0,0,31584,2848
10,4096,1,tma,1789358306023364160,1789358306023395840,25792,3040,0,0,101808166277591,101808166311377,0,3,8,6,3,0,1,0,31680,2848
10,4096,1,tma,1789358306023395968,1789358306023427520,25888,3008,0,0,101808166311505,101808166345757,0,3,16,6,3,0,2,0,31552,2656
10,4096,1,tma,1789358306023427648,1789358306023458592,25120,2784,0,0,101808166345886,101808166379775,0,3,24,6,3,0,3,0,30944,3040
10,4096,1,tma,1789358306023332448,1789358306023364032,25728,2944,0,0,101808166245054,101808166277466,1,3,0,7,3,1,0,0,31584,2912
10,4096,1,tma,1789358306023364160,1789358306023395840,25984,2880,0,0,101808166277594,101808166311373,1,3,8,7,3,1,1,0,31680,2816
10,4096,1,tma,1789358306023395968,1789358306023427520,25888,2784,0,0,101808166311501,101808166345761,1,3,16,7,3,1,2,0,31552,2880
10,4096,1,tma,1789358306023427648,1789358306023458592,25248,2720,0,0,101808166345889,101808166379778,1,3,24,7,3,1,3,0,30944,2976
10,4096,1,tma,1789358306023332416,1789358306023364512,25952,3040,0,0,101809258202744,101809258235199,2,4,0,8,4,0,0,0,32096,3104
10,4096,1,tma,1789358306023364608,1789358306023396384,25728,3264,0,0,101809258235327,101809258268638,2,4,8,8,4,0,1,0,31776,2784
10,4096,1,tma,1789358306023396512,1789358306023428736,26400,2976,0,0,101809258268766,101809258303437,2,4,16,8,4,0,2,0,32224,2848
10,4096,1,tma,1789358306023428864,1789358306023459616,24704,3040,0,0,101809258303565,101809258337246,2,4,24,8,4,0,3,0,30752,3008
