timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%]
2026/09/14 20:09:26.805, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 266.19 W, 1100.00 W, 36, 0 %, 0 %
2026/09/14 20:09:26.911, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 266.19 W, 1100.00 W, 36, 0 %, 0 %
2026/09/14 20:09:27.011, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 338.72 W, 1100.00 W, 43, 0 %, 0 %
2026/09/14 20:09:27.112, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 404.45 W, 1100.00 W, 45, 99 %, 7 %
2026/09/14 20:09:27.212, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 469.70 W, 1100.00 W, 46, 99 %, 7 %
2026/09/14 20:09:27.313, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 533.18 W, 1100.00 W, 47, 99 %, 7 %
2026/09/14 20:09:27.413, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 596.71 W, 1100.00 W, 47, 99 %, 7 %
2026/09/14 20:09:27.514, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 661.00 W, 1100.00 W, 48, 99 %, 7 %
2026/09/14 20:09:27.614, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 724.90 W, 1100.00 W, 48, 99 %, 7 %
2026/09/14 20:09:27.714, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 736.25 W, 1100.00 W, 48, 99 %, 7 %
2026/09/14 20:09:27.815, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 787.24 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:27.915, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 839.60 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:28.016, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 842.39 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:28.116, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 841.61 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:28.217, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 840.80 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:28.317, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 840.83 W, 1100.00 W, 49, 99 %, 7 %
2026/09/14 20:09:28.417, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 841.17 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:28.518, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 841.05 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:28.618, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 841.09 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:28.719, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 841.11 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:28.819, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 840.99 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:28.920, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 840.92 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:29.020, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 842.41 W, 1100.00 W, 50, 99 %, 7 %
2026/09/14 20:09:29.121, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 843.97 W, 1100.00 W, 50, 100 %, 7 %
2026/09/14 20:09:29.221, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 845.55 W, 1100.00 W, 50, 100 %, 7 %
2026/09/14 20:09:29.321, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 847.27 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.422, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 848.88 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.522, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 850.57 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.623, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 852.32 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.723, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 854.38 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.824, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 855.82 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:29.924, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.11 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.025, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.21 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.125, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.30 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.226, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.39 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.326, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.55 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.427, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.69 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.527, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.83 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.627, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.86 W, 1100.00 W, 51, 100 %, 7 %
2026/09/14 20:09:30.728, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 3996 MHz, 858.98 W, 1100.00 W, 51, 100 %, 7 %
