timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%]
2026/09/14 06:24:00.049, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.48, 1100.00, 33, 0
2026/09/14 06:24:00.259, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.63, 1100.00, 33, 0
2026/09/14 06:24:00.459, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.77, 1100.00, 33, 0
2026/09/14 06:24:00.660, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.73, 1100.00, 33, 0
2026/09/14 06:24:00.860, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.76, 1100.00, 33, 0
2026/09/14 06:24:01.061, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.77, 1100.00, 33, 0
2026/09/14 06:24:01.286, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.77, 1100.00, 33, 0
2026/09/14 06:24:01.486, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.77, 1100.00, 33, 0
2026/09/14 06:24:01.687, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.77, 1100.00, 33, 0
2026/09/14 06:24:01.887, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 187.96, 1100.00, 33, 0
2026/09/14 06:24:02.088, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 199.98, 1100.00, 34, 3
2026/09/14 06:24:02.289, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 211.86, 1100.00, 34, 0
2026/09/14 06:24:02.489, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 223.73, 1100.00, 34, 0
2026/09/14 06:24:02.689, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 236.62, 1100.00, 34, 0
2026/09/14 06:24:02.890, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.50, 1100.00, 34, 0
2026/09/14 06:24:03.090, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.53, 1100.00, 34, 2
2026/09/14 06:24:03.290, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.87, 1100.00, 34, 0
2026/09/14 06:24:03.491, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.26, 1100.00, 34, 0
2026/09/14 06:24:03.691, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 1
2026/09/14 06:24:03.891, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.87, 1100.00, 34, 0
2026/09/14 06:24:04.091, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.71, 1100.00, 34, 0
2026/09/14 06:24:04.292, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.48, 1100.00, 34, 0
2026/09/14 06:24:04.492, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.17, 1100.00, 34, 0
2026/09/14 06:24:04.693, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.02, 1100.00, 34, 0
2026/09/14 06:24:04.893, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.95, 1100.00, 34, 0
2026/09/14 06:24:05.093, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.52, 1100.00, 34, 0
2026/09/14 06:24:05.294, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.66, 1100.00, 34, 0
2026/09/14 06:24:05.494, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 34, 0
2026/09/14 06:24:05.694, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.87, 1100.00, 34, 0
2026/09/14 06:24:05.895, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.87, 1100.00, 34, 0
2026/09/14 06:24:06.095, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 2
2026/09/14 06:24:06.295, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:24:06.496, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:06.696, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:24:06.896, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:24:07.097, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 34, 0
2026/09/14 06:24:07.297, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 0
