timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%]
2026/09/14 06:13:51.646, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:51.855, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:52.056, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:52.257, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:52.457, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:52.658, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.04, 1100.00, 33, 0
2026/09/14 06:13:52.923, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 382, 3996, 186.65, 1100.00, 33, 0
2026/09/14 06:13:53.124, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 382, 3996, 187.07, 1100.00, 33, 0
2026/09/14 06:13:53.324, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 382, 3996, 187.56, 1100.00, 33, 0
2026/09/14 06:13:53.525, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 193.88, 1100.00, 34, 0
2026/09/14 06:13:53.725, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 205.95, 1100.00, 34, 0
2026/09/14 06:13:53.925, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 217.86, 1100.00, 34, 0
2026/09/14 06:13:54.125, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 229.76, 1100.00, 34, 0
2026/09/14 06:13:54.326, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 240.38, 1100.00, 34, 0
2026/09/14 06:13:54.526, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.29, 1100.00, 34, 0
2026/09/14 06:13:54.726, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 34, 2
2026/09/14 06:13:54.927, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.61, 1100.00, 34, 0
2026/09/14 06:13:55.127, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.64, 1100.00, 34, 0
2026/09/14 06:13:55.327, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.91, 1100.00, 34, 1
2026/09/14 06:13:55.528, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.95, 1100.00, 35, 0
2026/09/14 06:13:55.728, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.95, 1100.00, 35, 0
2026/09/14 06:13:55.928, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:13:56.129, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:13:56.329, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.84, 1100.00, 35, 0
2026/09/14 06:13:56.529, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.79, 1100.00, 35, 0
2026/09/14 06:13:56.730, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.02, 1100.00, 35, 0
2026/09/14 06:13:56.930, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.02, 1100.00, 35, 0
2026/09/14 06:13:57.130, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.02, 1100.00, 35, 0
2026/09/14 06:13:57.331, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.01, 1100.00, 35, 0
2026/09/14 06:13:57.531, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.05, 1100.00, 35, 0
2026/09/14 06:13:57.731, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.13, 1100.00, 35, 2
2026/09/14 06:13:57.932, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.12, 1100.00, 35, 0
2026/09/14 06:13:58.132, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.11, 1100.00, 35, 0
2026/09/14 06:13:58.332, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.10, 1100.00, 35, 0
2026/09/14 06:13:58.533, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.08, 1100.00, 35, 0
2026/09/14 06:13:58.733, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 35, 0
2026/09/14 06:13:58.933, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.00, 1100.00, 35, 0
2026/09/14 06:13:59.134, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.99, 1100.00, 35, 0
2026/09/14 06:13:59.392, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.01, 1100.00, 35, 0
2026/09/14 06:13:59.592, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.02, 1100.00, 35, 0
2026/09/14 06:13:59.793, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.85, 1100.00, 35, 0
2026/09/14 06:13:59.993, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.86, 1100.00, 35, 2
2026/09/14 06:14:00.193, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.86, 1100.00, 35, 0
2026/09/14 06:14:00.394, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.85, 1100.00, 35, 0
2026/09/14 06:14:00.594, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 35, 0
2026/09/14 06:14:00.794, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.84, 1100.00, 35, 0
2026/09/14 06:14:00.995, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.91, 1100.00, 35, 2
2026/09/14 06:14:01.195, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.395, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.596, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:01.796, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.996, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.82, 1100.00, 35, 0
2026/09/14 06:14:02.197, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.78, 1100.00, 35, 0
2026/09/14 06:14:02.397, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.79, 1100.00, 35, 0
2026/09/14 06:14:02.597, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 35, 0
2026/09/14 06:14:02.798, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.96, 1100.00, 35, 2
2026/09/14 06:14:02.998, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.95, 1100.00, 35, 0
2026/09/14 06:14:03.198, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.98, 1100.00, 35, 0
